time,tags,Столбец1
0,IDLE,
5,Сцена-1-1 (экспозиция),
10,Сцена-1-2  экспозиция (Снаут Сарториус),
15,Сцена-1-2(Крис приехал),
20,Сцена-1-3 (Хари приехала),
25,Сцена-1-4 (Хари убивают),
30,__из_1_в_2__,
35,__из_1_в_2__,
40,Сцена-2-1 (Крис  Сарториус  Снаут),
45,Сцена-2-2 (Крис  Сарториус  Снаут),
50,Сцена-2-3 (фантом дочери),
55,Сцена-2-4 (озверение),
60,Сцена-2-5 (встреча),
65,Сцена-2-6,
70,Сцена-2-7,
75,Сцена-2-8,
80,__из_2_в_3__,
85,__из_2_в_3__,
90,Сцена-3-1 (Разговор Криса и Хари),
95,Сцена-3-2 (Разговор Криса и Хари),
100,Сцена-3-3 …,
105,Сцена-3-4 …,
110,Сцена-3-5 …,
115,Сцена-3-6 …,
120,Сцена-3-7 …,
125,Сцена-3-8 (Хари - scream),
130,,
135,Сцена-4-1 (Крис  Снаут),
140,Сцена-4-2,
145,Сцена-4-3 (+ Сарториус),
150,Сцена-4-4 ( + Двойник Снаута),
155,Сцена-4-5 ( + дочь Сарториуса),
160,Сцена-4-6 (мочилово) ,
165,Сцена-4-7,
170,Сцена-4-8,
175,_из 4 в 5 _,
180,_из 4 в 5 _,
185,Сцена-5-1 (Хари  Крис),
190,Сцена-5-2,
195,Сцена-5-3,
200,Сцена-5-4,
205,Сцена-5-5,
210,Сцена-5-6,
215,_из 5 в 6 _,
220,_из 5 в 6 _,
225,Сцена-6-1 (Снаут  Двойник),
230,Сцена-6-2 (Двойник в клетке) ,
235,Сцена-6-3 ( + Сарториус),
240,Сцена-6-4 (+Дочь),
245,Сцена-6-5 (15-й этаж!),
250,Сцена-6-6 (Дочь в клетке),
255,Сцена-6-7 (+Крис),
260,Сцена-6-8 (Двойника испаряют) ,
265,__из 6 в 7__,
270,__из 6 в 7__,
275,Сцена-7-1 (Крис и Хари),
280,Сцена-7-2 (Крис и Хари),
285,Сцена-7-3 (Крис и Хари),
290,Сцена-7-4 (Крис и Хари),
295,Сцена-7-5 (Крис и Хари),
300,Сцена-7-6 (Крис и Хари),
305,Сцена-7-7 (Крис и Хари),
310,Сцена-7-8 (Крис и Хари),
315,__из 7 в 8__,
320,__из 7 в 8__,
325,Сцена-8-1 (Крис  Снаут  Сарториус),
330,Сцена-8-2 (Крис  Снаут  Сарториус),
335,Сцена-8-3 (Крис  Снаут  Сарториус),
340,Сцена-8-4 (Крис  Снаут  Сарториус),
345,Сцена-8-5 (Крис  Снаут  Сарториус),
350,Сцена-8-6 (Крис  Снаут  Сарториус),
355,Сцена-8-7 (Крис  Снаут  Сарториус),
360,Сцена-8-8 (Крис  Снаут  Сарториус),
365,__из 8 в 9__,
370,__из 8 в 9__,
375,Сцена-9-1 (Крис и Хари),
380,Сцена-9-2 (Крис и Хари),
385,Сцена-9-3 (Крис и Хари),
390,Сцена-9-4 (Крис и Хари),
395,Сцена-9-5 (Крис и Хари),
400,Сцена-9-6 (Крис и Хари),
405,Сцена-9-7 (Крис и Хари),
410,Сцена-9-8 (Крис и Хари),
415,__из 9 в 10__,
420,__из 9 в 10__,
425,Сцена-10-1 (Монологи Снаута и Сарториуса),
430,Сцена-10-2 (Монологи Снаута и Сарториуса),
435,Сцена-10-3 (Монологи Снаута и Сарториуса),
440,Сцена-10-4 (Монологи Снаута и Сарториуса),
445,Сцена-10-5 (Монологи Снаута и Сарториуса),
450,Сцена-10-6 (Монологи Снаута и Сарториуса),
455,Сцена-10-7 (Монологи Снаута и Сарториуса),
460,Сцена-10-8 (Монологи Снаута и Сарториуса),
465,__из 10 в 11__,
470,__из 10 в 11__,
475,Сцена-11-1 (Финал  Крис и Хари),
480,Сцена-11-2 (Финал),
485,Сцена-11-3 (Финал),
490,Сцена-11-4 (Финал),
495,Сцена-11-5 (Финал),
500,Сцена-11-6 (Финал),
505,Сцена-11-7 (Финал),
510,Сцена-11-8 (Финал),
515,THE END,
,,
,,
,,
,,
,,
,,
